"Account"	"Businees Unit"	"Currency"	"Year"	"Scenario"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"Travel & Entertainment Expense"	"Advertising"	"USD"	"2016"	"Actuals"	"-205336"	"-194814"	"-193218"	"-183673"	"-189826"	"-284932"	"-280179"	"-311287"	"-285374"	"-296625"	"-142198"	"-226382"
"R&D Expense"	"Advertising"	"USD"	"2016"	"Actuals"	"-851979"	"-905765"	"-710782"	"-775323"	"-798120"	"-1110337"	"-1084014"	"-1222396"	"-1026824"	"-1130889"	"-526140"	"-887310"
"Consulting Expense"	"Advertising"	"USD"	"2016"	"Actuals"	"-1231645"	"-1088760"	"-892572"	"-1033128"	"-1048111"	"-1490618"	"-1380862"	"-1524075"	"-1466230"	"-1289535"	"-724095"	"-1163422"
"Software/Hardware Expense"	"Advertising"	"USD"	"2016"	"Actuals"	"-1760584"	"-1456013"	"-1085771"	"-1337440"	"-1406326"	"-2265055"	"-1986127"	"-2165067"	"-1996836"	"-1966531"	"-1083014"	"-1464640"
"Marketing Expense"	"Advertising"	"USD"	"2016"	"Actuals"	"-487605"	"-439530"	"-319530"	"-366239"	"-365704"	"-593597"	"-645238"	"-588468"	"-508124"	"-492524"	"-271335"	"-390316"
"Sales"	"Hardware"	"USD"	"2016"	"Actuals"	"31845794"	"30082146"	"18590909"	"19719345"	"31899203"	"28967796"	"35768219"	"34459093"	"27231867"	"29870049"	"16952765"	"32186200"
"Cost of Goods Sold"	"Hardware"	"USD"	"2016"	"Actuals"	"-13200712"	"-12724470"	"-8005672"	"-8313897"	"-13789811"	"-12486225"	"-14967747"	"-16272271"	"-13336587"	"-14070961"	"-7089539"	"-13748549"
"Commissions Expense"	"Hardware"	"USD"	"2016"	"Actuals"	"-1382258"	"-1379467"	"-909010"	"-890247"	"-1385535"	"-1190803"	"-1478432"	"-1441730"	"-1319597"	"-1318334"	"-716994"	"-1489139"
"Payroll Expense"	"Hardware"	"USD"	"2016"	"Actuals"	"-3529710"	"-3352789"	"-2066872"	"-2137102"	"-3900848"	"-3360650"	"-4456741"	"-4184978"	"-2924927"	"-3047539"	"-1933137"	"-3711354"
"Travel & Entertainment Expense"	"Hardware"	"USD"	"2016"	"Actuals"	"-360600"	"-355602"	"-225838"	"-214931"	"-385660"	"-318347"	"-416340"	"-345090"	"-319634"	"-339599"	"-205616"	"-397272"
"R&D Expense"	"Hardware"	"USD"	"2016"	"Actuals"	"-1448404"	"-1354372"	"-843964"	"-793282"	"-1336026"	"-1175987"	"-1479244"	"-1546344"	"-1131760"	"-1471727"	"-821928"	"-1349035"
"Consulting Expense"	"Hardware"	"USD"	"2016"	"Actuals"	"-1648622"	"-1786593"	"-1136110"	"-1080438"	"-1938602"	"-1649632"	"-1997676"	"-2104863"	"-1516483"	"-1584186"	"-985271"	"-1919097"
"Software/Hardware Expense"	"Hardware"	"USD"	"2016"	"Actuals"	"-2309056"	"-2423602"	"-1559611"	"-1703087"	"-2723160"	"-2034072"	"-2704842"	"-2801318"	"-2243456"	"-2327951"	"-1466294"	"-2665088"
"Marketing Expense"	"Hardware"	"USD"	"2016"	"Actuals"	"-741378"	"-643670"	"-387401"	"-424256"	"-741907"	"-614784"	"-893758"	"-799193"	"-553098"	"-643339"	"-417847"	"-692029"
"Sales"	"Software"	"USD"	"2017"	"Actuals"	"90594765"	"64091321"	"90832224"	"90566899"	"61790341"	"89637185"	"97015607"	"57860421"	"93873947"	"56762897"	"74155238"	"99732691"
"Cost of Goods Sold"	"Software"	"USD"	"2017"	"Actuals"	"-39951806"	"-30670039"	"-38962942"	"-38993954"	"-30894645"	"-42444634"	"-47268030"	"-25201882"	"-42405906"	"-26532237"	"-33578994"	"-40232513"
"Commissions Expense"	"Software"	"USD"	"2017"	"Actuals"	"-4200214"	"-3202859"	"-3773718"	"-3631480"	"-2998975"	"-3862374"	"-4168148"	"-2328089"	"-4439610"	"-2553968"	"-3433607"	"-4346873"
"Payroll Expense"	"Software"	"USD"	"2017"	"Actuals"	"-9773658"	"-7625235"	"-9175082"	"-10606715"	"-7184780"	"-8981143"	"-11594344"	"-6449339"	"-11285602"	"-6584691"	"-8971630"	"-11594872"
"Travel & Entertainment Expense"	"Software"	"USD"	"2017"	"Actuals"	"-1011934"	"-681792"	"-964632"	"-1071676"	"-618377"	"-935846"	"-1181022"	"-585603"	"-1064714"	"-640750"	"-863683"	"-1014103"
"R&D Expense"	"Software"	"USD"	"2017"	"Actuals"	"-4172768"	"-2645823"	"-4323239"	"-3683650"	"-2610683"	"-3792727"	"-4293112"	"-2846435"	"-4283488"	"-2423797"	"-3357266"	"-4441468"
"Consulting Expense"	"Software"	"USD"	"2017"	"Actuals"	"-5202064"	"-3712680"	"-5671365"	"-5347644"	"-3808190"	"-4711668"	"-6016591"	"-3209594"	"-5650365"	"-3478094"	"-4533548"	"-5854118"
"Software/Hardware Expense"	"Software"	"USD"	"2017"	"Actuals"	"-6815756"	"-4840574"	"-6818595"	"-6537701"	"-4506878"	"-6673167"	"-7844506"	"-4267450"	"-7389303"	"-4761855"	"-5368585"	"-7437361"
"Marketing Expense"	"Software"	"USD"	"2017"	"Actuals"	"-2126102"	"-1571597"	"-1909683"	"-1950375"	"-1267839"	"-2206505"	"-2311953"	"-1337686"	"-2110424"	"-1215239"	"-1688551"	"-2310478"
"Sales"	"Advertising"	"USD"	"2017"	"Actuals"	"21742744"	"17304657"	"23616378"	"26264401"	"14211778"	"19720181"	"19403121"	"15043709"	"25345966"	"11352579"	"19280362"	"27925153"
"Cost of Goods Sold"	"Advertising"	"USD"	"2017"	"Actuals"	"-9733073"	"-7319150"	"-9538845"	"-10780711"	"-6715269"	"-7919308"	"-9007474"	"-6627053"	"-11225719"	"-5419873"	"-8415726"	"-11619625"
"Commissions Expense"	"Advertising"	"USD"	"2017"	"Actuals"	"-997908"	"-722794"	"-1156017"	"-1160645"	"-583037"	"-890851"	"-877624"	"-615771"	"-1070440"	"-566381"	"-923583"	"-1264328"
"Payroll Expense"	"Advertising"	"USD"	"2017"	"Actuals"	"-2275216"	"-1900402"	"-2684124"	"-2725657"	"-1725315"	"-2308388"	"-2313499"	"-1869056"	"-2612036"	"-1255719"	"-2164141"	"-3382499"
"Travel & Entertainment Expense"	"Advertising"	"USD"	"2017"	"Actuals"	"-241370"	"-201204"	"-254089"	"-316915"	"-155835"	"-207613"	"-207549"	"-168184"	"-254264"	"-130948"	"-192816"	"-345557"
"R&D Expense"	"Advertising"	"USD"	"2017"	"Actuals"	"-981507"	"-800779"	"-1036791"	"-1126434"	"-689387"	"-851864"	"-847534"	"-648186"	"-1181485"	"-521786"	"-908073"	"-1316006"
"Consulting Expense"	"Advertising"	"USD"	"2017"	"Actuals"	"-1260803"	"-887301"	"-1380264"	"-1318077"	"-739907"	"-1082894"	"-1002999"	"-928770"	"-1457766"	"-689135"	"-1121473"	"-1741924"
"Software/Hardware Expense"	"Advertising"	"USD"	"2017"	"Actuals"	"-1775770"	"-1442574"	"-1726011"	"-2270737"	"-1088722"	"-1586631"	"-1464615"	"-1067050"	"-2213537"	"-960228"	"-1352565"	"-2173270"
"Marketing Expense"	"Advertising"	"USD"	"2017"	"Actuals"	"-483691"	"-372543"	"-545725"	"-535319"	"-297206"	"-401618"	"-417457"	"-362171"	"-556569"	"-247191"	"-397019"	"-605393"
"Sales"	"Hardware"	"USD"	"2017"	"Actuals"	"35331958"	"24354702"	"33607923"	"36226760"	"22862426"	"33165758"	"38806243"	"17358126"	"29100924"	"19299385"	"26695886"	"31914461"
"Cost of Goods Sold"	"Hardware"	"USD"	"2017"	"Actuals"	"-14981390"	"-11768480"	"-13481513"	"-15681576"	"-10257861"	"-14264605"	"-19353821"	"-8653531"	"-13737554"	"-7848305"	"-11711526"	"-15747097"
"Commissions Expense"	"Hardware"	"USD"	"2017"	"Actuals"	"-1587761"	"-1170710"	"-1624574"	"-1691834"	"-1049741"	"-1359614"	"-1758131"	"-711793"	"-1388918"	"-779205"	"-1144606"	"-1522730"
"Payroll Expense"	"Hardware"	"USD"	"2017"	"Actuals"	"-4033118"	"-2804073"	"-4114440"	"-4458834"	"-2464577"	"-3718795"	"-4094125"	"-1938707"	"-3630932"	"-1950807"	"-2705544"	"-3793540"
"Travel & Entertainment Expense"	"Hardware"	"USD"	"2017"	"Actuals"	"-398121"	"-274894"	"-376456"	"-391528"	"-237490"	"-368441"	"-448153"	"-216891"	"-307907"	"-218441"	"-324610"	"-329602"
"R&D Expense"	"Hardware"	"USD"	"2017"	"Actuals"	"-1635112"	"-1019814"	"-1426689"	"-1679837"	"-1135315"	"-1541375"	"-1814752"	"-836674"	"-1253636"	"-853717"	"-1294484"	"-1425518"
"Consulting Expense"	"Hardware"	"USD"	"2017"	"Actuals"	"-1927676"	"-1328400"	"-2069551"	"-1887355"	"-1156009"	"-1784928"	"-2248306"	"-910768"	"-1580888"	"-1158277"	"-1560426"	"-1837473"
"Software/Hardware Expense"	"Hardware"	"USD"	"2017"	"Actuals"	"-3044114"	"-1819545"	"-2617322"	"-2755287"	"-1805785"	"-2873587"	"-2847737"	"-1476154"	"-2221842"	"-1549413"	"-2203496"	"-2541935"
"Marketing Expense"	"Hardware"	"USD"	"2017"	"Actuals"	"-776342"	"-495765"	"-711063"	"-748765"	"-469993"	"-773003"	"-859144"	"-386918"	"-662455"	"-414101"	"-546738"	"-757113"
"Sales"	"Software"	"USD"	"2018"	"Actuals"	"66435319"	"60115140"	"90236987"	"54994813"	"77231074"	"97709573"	"64318085"	"79972600"	"62710249"	"73998780"	"82673488"	"70499145"
"Cost of Goods Sold"	"Software"	"USD"	"2018"	"Actuals"	"-27104860"	"-25436907"	"-38384450"	"-23720725"	"-36998377"	"-46943978"	"-31836477"	"-36494840"	"-29353102"	"-35974519"	"-40171071"	"-30494072"
"Commissions Expense"	"Software"	"USD"	"2018"	"Actuals"	"-2713289"	"-2643762"	"-4018302"	"-2737615"	"-3424073"	"-4573850"	"-2772432"	"-3672921"	"-2644431"	"-3537843"	"-4098546"	"-3359690"
"Payroll Expense"	"Software"	"USD"	"2018"	"Actuals"	"-8280603"	"-6867597"	"-10628214"	"-6468370"	"-8682088"	"-11568082"	"-7856495"	"-8885299"	"-6676267"	"-8373131"	"-8920804"	"-8578713"
"Travel & Entertainment Expense"	"Software"	"USD"	"2018"	"Actuals"	"-761347"	"-628778"	"-1073369"	"-560203"	"-871981"	"-1080688"	"-688880"	"-947587"	"-676254"	"-923896"	"-962429"	"-855002"
"R&D Expense"	"Software"	"USD"	"2018"	"Actuals"	"-3297070"	"-2664533"	"-3735439"	"-2501090"	"-3836860"	"-4417304"	"-2616145"	"-3898946"	"-2650136"	"-3476472"	"-3736829"	"-3209049"
"Consulting Expense"	"Software"	"USD"	"2018"	"Actuals"	"-3652403"	"-3552663"	"-5623204"	"-3054682"	"-4799777"	"-5403494"	"-3641178"	"-4648622"	"-3871484"	"-4221212"	"-4985822"	"-4096376"
"Software/Hardware Expense"	"Software"	"USD"	"2018"	"Actuals"	"-5091475"	"-4367071"	"-6833347"	"-4733816"	"-5744222"	"-6903913"	"-4696016"	"-6896595"	"-5081194"	"-5804680"	"-6640954"	"-5266263"
"Marketing Expense"	"Software"	"USD"	"2018"	"Actuals"	"-1645124"	"-1278801"	"-2131484"	"-1100717"	"-1826309"	"-2015110"	"-1398743"	"-1918888"	"-1344274"	"-1671309"	"-1653663"	"-1643350"
"Sales"	"Advertising"	"USD"	"2018"	"Actuals"	"16608830"	"16832239"	"25266356"	"10998963"	"16990836"	"25404489"	"14149979"	"23991780"	"16304665"	"19979671"	"23148577"	"19739761"
"Cost of Goods Sold"	"Advertising"	"USD"	"2018"	"Actuals"	"-8236344"	"-8042610"	"-12117107"	"-4675346"	"-7100562"	"-12588151"	"-6704128"	"-9779210"	"-6610140"	"-8562162"	"-10079814"	"-9396643"
"Commissions Expense"	"Advertising"	"USD"	"2018"	"Actuals"	"-766208"	"-784700"	"-1035635"	"-524075"	"-787515"	"-1019983"	"-649211"	"-1055240"	"-806585"	"-868806"	"-1036773"	"-865246"
"Payroll Expense"	"Advertising"	"USD"	"2018"	"Actuals"	"-1687861"	"-1908906"	"-3099461"	"-1158181"	"-2113347"	"-3001777"	"-1491212"	"-2710528"	"-1710242"	"-2053307"	"-2397887"	"-2075965"
"Travel & Entertainment Expense"	"Advertising"	"USD"	"2018"	"Actuals"	"-178587"	"-177141"	"-265218"	"-116156"	"-182402"	"-286611"	"-172955"	"-254330"	"-201909"	"-219276"	"-272949"	"-226471"
"R&D Expense"	"Advertising"	"USD"	"2018"	"Actuals"	"-822885"	"-719356"	"-1228124"	"-506867"	"-775835"	"-1025959"	"-702957"	"-989842"	"-748322"	"-838544"	"-1076008"	"-878808"
"Consulting Expense"	"Advertising"	"USD"	"2018"	"Actuals"	"-878445"	"-1015003"	"-1544184"	"-624903"	"-981395"	"-1409322"	"-769986"	"-1360544"	"-823428"	"-1191494"	"-1337302"	"-1224978"
"Software/Hardware Expense"	"Advertising"	"USD"	"2018"	"Actuals"	"-1383309"	"-1184231"	"-2046108"	"-895975"	"-1219125"	"-2071773"	"-1049534"	"-1731716"	"-1319856"	"-1570667"	"-1745114"	"-1554713"
"Marketing Expense"	"Advertising"	"USD"	"2018"	"Actuals"	"-372008"	"-360544"	"-570065"	"-262663"	"-396364"	"-550129"	"-307493"	"-531975"	"-399869"	"-436804"	"-506081"	"-467366"
"Sales"	"Hardware"	"USD"	"2018"	"Actuals"	"22588008"	"21641450"	"27071096"	"20348081"	"30120119"	"31267063"	"23797691"	"28790136"	"23829895"	"25899573"	"33069395"	"26084684"
"Cost of Goods Sold"	"Hardware"	"USD"	"2018"	"Actuals"	"-10265791"	"-9595925"	"-12320892"	"-9627717"	"-12962874"	"-13064551"	"-9571992"	"-12221156"	"-11418990"	"-12077910"	"-16179555"	"-10510360"
"Commissions Expense"	"Hardware"	"USD"	"2018"	"Actuals"	"-1109715"	"-990616"	"-1310557"	"-982150"	"-1364098"	"-1391285"	"-1187160"	"-1378779"	"-1128203"	"-1221475"	"-1462497"	"-1098303"
"Payroll Expense"	"Hardware"	"USD"	"2018"	"Actuals"	"-2815912"	"-2488177"	"-2965661"	"-2283610"	"-3049013"	"-3229385"	"-2723303"	"-3347966"	"-2808206"	"-2898991"	"-3824182"	"-3110761"
"Travel & Entertainment Expense"	"Hardware"	"USD"	"2018"	"Actuals"	"-277101"	"-268307"	"-300695"	"-226664"	"-330688"	"-356708"	"-270129"	"-330116"	"-264694"	"-268441"	"-394967"	"-294530"
"R&D Expense"	"Hardware"	"USD"	"2018"	"Actuals"	"-1046413"	"-1064705"	"-1317015"	"-983951"	"-1474255"	"-1337033"	"-1172106"	"-1205747"	"-1043533"	"-1076071"	"-1635486"	"-1206801"
"Consulting Expense"	"Hardware"	"USD"	"2018"	"Actuals"	"-1137395"	"-1145692"	"-1437771"	"-1170661"	"-1752088"	"-1811436"	"-1373270"	"-1462352"	"-1439071"	"-1542875"	"-1812241"	"-1339934"
"Software/Hardware Expense"	"Hardware"	"USD"	"2018"	"Actuals"	"-1730428"	"-1612677"	"-2147516"	"-1745476"	"-2269548"	"-2465032"	"-1914360"	"-2183078"	"-1990329"	"-1869047"	"-2468988"	"-1921595"
"Marketing Expense"	"Hardware"	"USD"	"2018"	"Actuals"	"-549275"	"-522414"	"-595592"	"-499668"	"-604911"	"-719662"	"-588651"	"-600730"	"-590466"	"-576820"	"-783592"	"-563187"
"Sales"	"Software"	"USD"	"2019"	"Actuals"	"93925775"	"74821680"	"85600673"	"76646440"	"79863817"	"55912270"	"79685077"	"75122784"	"67143263"	"86159862"	"76968833"	"69967979"
"Cost of Goods Sold"	"Software"	"USD"	"2019"	"Actuals"	"-44392971"	"-32181042"	"-35760851"	"-35264635"	"-35248824"	"-23149330"	"-34752454"	"-34860156"	"-27438935"	"-39136737"	"-31245199"	"-30213783"
"Commissions Expense"	"Software"	"USD"	"2019"	"Actuals"	"-4343758"	"-3359430"	"-3895028"	"-3677401"	"-3875744"	"-2739844"	"-3745877"	"-3435719"	"-3318784"	"-3556874"	"-3543487"	"-3170203"
"Payroll Expense"	"Software"	"USD"	"2019"	"Actuals"	"-10410570"	"-7492567"	"-9830922"	"-8236178"	"-9111360"	"-5732127"	"-9582968"	"-8080224"	"-8219184"	"-8720852"	"-8289269"	"-7400943"
"Travel & Entertainment Expense"	"Software"	"USD"	"2019"	"Actuals"	"-1013731"	"-791949"	"-1022834"	"-918382"	"-840954"	"-561209"	"-939529"	"-768568"	"-832059"	"-975463"	"-913816"	"-775184"
"R&D Expense"	"Software"	"USD"	"2019"	"Actuals"	"-4644817"	"-3595006"	"-3948370"	"-3595290"	"-3639614"	"-2496842"	"-3301698"	"-3520724"	"-2763529"	"-4269633"	"-3402942"	"-3029013"
"Consulting Expense"	"Software"	"USD"	"2019"	"Actuals"	"-4979698"	"-4435793"	"-4778009"	"-4754163"	"-4664933"	"-2931067"	"-4639082"	"-3992375"	"-3635430"	"-4790506"	"-3919710"	"-3675104"
"Software/Hardware Expense"	"Software"	"USD"	"2019"	"Actuals"	"-7407369"	"-6226870"	"-7033820"	"-6283426"	"-6682029"	"-4138949"	"-5590768"	"-5268218"	"-4841180"	"-6750935"	"-6303933"	"-5630389"
"Marketing Expense"	"Software"	"USD"	"2019"	"Actuals"	"-1956457"	"-1720137"	"-2128417"	"-1672934"	"-1630486"	"-1155823"	"-1933737"	"-1641920"	"-1480543"	"-1809342"	"-1570718"	"-1633705"
"Sales"	"Advertising"	"USD"	"2019"	"Actuals"	"20663671"	"20950070"	"25680202"	"22993932"	"16771402"	"14537190"	"22311822"	"15775785"	"15442950"	"18093571"	"16933143"	"14693276"
"Cost of Goods Sold"	"Advertising"	"USD"	"2019"	"Actuals"	"-8508915"	"-10304746"	"-12517373"	"-9859051"	"-6865712"	"-6772562"	"-8950825"	"-7590684"	"-7132203"	"-7942616"	"-7868673"	"-6027183"
"Commissions Expense"	"Advertising"	"USD"	"2019"	"Actuals"	"-907552"	"-996432"	"-1050172"	"-1007411"	"-685653"	"-720826"	"-924673"	"-770345"	"-734261"	"-899147"	"-808478"	"-706131"
"Payroll Expense"	"Advertising"	"USD"	"2019"	"Actuals"	"-2448583"	"-2391536"	"-2851891"	"-2338942"	"-1988754"	"-1512300"	"-2373330"	"-1709943"	"-1561720"	"-2224218"	"-2066473"	"-1477534"
"Travel & Entertainment Expense"	"Advertising"	"USD"	"2019"	"Actuals"	"-232296"	"-221176"	"-259024"	"-239313"	"-173459"	"-145469"	"-276387"	"-181197"	"-167260"	"-199198"	"-173160"	"-156797"
"R&D Expense"	"Advertising"	"USD"	"2019"	"Actuals"	"-896638"	"-945985"	"-1072491"	"-1138580"	"-765907"	"-590365"	"-926585"	"-715140"	"-691264"	"-778336"	"-702619"	"-644524"
"Consulting Expense"	"Advertising"	"USD"	"2019"	"Actuals"	"-1036658"	"-1191081"	"-1453675"	"-1419262"	"-938782"	"-763861"	"-1141341"	"-909348"	"-801672"	"-1077622"	"-899513"	"-770599"
"Software/Hardware Expense"	"Advertising"	"USD"	"2019"	"Actuals"	"-1662699"	"-1508105"	"-2020361"	"-1703999"	"-1422906"	"-1092346"	"-1924272"	"-1220195"	"-1122540"	"-1320824"	"-1254355"	"-1248757"
"Marketing Expense"	"Advertising"	"USD"	"2019"	"Actuals"	"-474519"	"-436767"	"-574482"	"-464102"	"-383468"	"-313859"	"-475888"	"-366084"	"-329879"	"-442129"	"-387635"	"-358088"
"Sales"	"Hardware"	"USD"	"2019"	"Actuals"	"34752537"	"24691154"	"25680202"	"26826254"	"27952336"	"21246663"	"26296075"	"23288063"	"24843007"	"31017550"	"23090650"	"22389753"
"Cost of Goods Sold"	"Hardware"	"USD"	"2019"	"Actuals"	"-14132859"	"-11727435"	"-12222578"	"-13093645"	"-11370112"	"-9026733"	"-12160565"	"-10002285"	"-11921132"	"-14296442"	"-9686848"	"-9711164"
"Commissions Expense"	"Hardware"	"USD"	"2019"	"Actuals"	"-1463871"	"-1024242"	"-1101040"	"-1272176"	"-1358858"	"-1043087"	"-1221437"	"-1026974"	"-1116490"	"-1526346"	"-982952"	"-906448"
"Payroll Expense"	"Hardware"	"USD"	"2019"	"Actuals"	"-4043986"	"-3022354"	"-2798525"	"-3154983"	"-3444409"	"-2213428"	"-2708520"	"-2339885"	"-2643065"	"-3522777"	"-2616321"	"-2740005"
"Travel & Entertainment Expense"	"Hardware"	"USD"	"2019"	"Actuals"	"-381615"	"-267722"	"-278956"	"-268977"	"-338877"	"-238395"	"-279772"	"-248213"	"-268330"	"-320068"	"-282749"	"-231541"
"R&D Expense"	"Hardware"	"USD"	"2019"	"Actuals"	"-1674547"	"-1147043"	"-1157373"	"-1173747"	"-1210176"	"-1017288"	"-1201326"	"-964366"	"-1145590"	"-1406101"	"-1094642"	"-1115642"
"Consulting Expense"	"Hardware"	"USD"	"2019"	"Actuals"	"-2111557"	"-1412954"	"-1291124"	"-1397498"	"-1565368"	"-1326379"	"-1622439"	"-1226635"	"-1262100"	"-1748576"	"-1384323"	"-1324557"
"Software/Hardware Expense"	"Hardware"	"USD"	"2019"	"Actuals"	"-2621552"	"-2126728"	"-2055611"	"-2208062"	"-2194136"	"-1668825"	"-2109233"	"-1880439"	"-1804729"	"-2534420"	"-1619891"	"-1722891"
"Marketing Expense"	"Hardware"	"USD"	"2019"	"Actuals"	"-803681"	"-503961"	"-633831"	"-642450"	"-677962"	"-500671"	"-593208"	"-566165"	"-563553"	"-626673"	"-507695"	"-465617"
"Sales"	"Software"	"USD"	"2020"	"Actuals"	"71093649"	"69761443"	"67749499"	"83659411"	"50706283"	"74230386"	"51880363"	"58898540"	"56982904"	"67960764"	"58782343"	"65096491"
"Cost of Goods Sold"	"Software"	"USD"	"2020"	"Actuals"	"-34103526"	"-30206863"	"-27470575"	"-34682066"	"-21826243"	"-32436605"	"-23222375"	"-28728685"	"-23629340"	"-28163573"	"-24647818"	"-28092094"
"Commissions Expense"	"Software"	"USD"	"2020"	"Actuals"	"-3016900"	"-2897074"	"-2761210"	"-3560904"	"-2517220"	"-3437933"	"-2249876"	"-2890523"	"-2817192"	"-3178807"	"-2858642"	"-2855070"
"Payroll Expense"	"Software"	"USD"	"2020"	"Actuals"	"-8603051"	"-8541760"	"-7322344"	"-9801852"	"-5175406"	"-9241021"	"-5986060"	"-6079566"	"-5882738"	"-8279558"	"-7285772"	"-6906703"
"Travel & Entertainment Expense"	"Software"	"USD"	"2020"	"Actuals"	"-796316"	"-740890"	"-771325"	"-1023766"	"-537167"	"-840678"	"-627016"	"-672096"	"-687082"	"-827969"	"-652417"	"-684807"
"R&D Expense"	"Software"	"USD"	"2020"	"Actuals"	"-3002990"	"-3340409"	"-3004524"	"-3551194"	"-2323218"	"-3371500"	"-2449904"	"-2845127"	"-2572883"	"-3307355"	"-2605638"	"-2647248"
"Consulting Expense"	"Software"	"USD"	"2020"	"Actuals"	"-4083940"	"-4181857"	"-4200785"	"-4354377"	"-2601329"	"-4369202"	"-2990522"	"-3089502"	"-3010004"	"-3493197"	"-3343278"	"-3550075"
"Software/Hardware Expense"	"Software"	"USD"	"2020"	"Actuals"	"-5003748"	"-5633221"	"-5888134"	"-6870676"	"-4221289"	"-5755164"	"-4216369"	"-4657751"	"-4782116"	"-5305882"	"-4508253"	"-4768388"
"Marketing Expense"	"Software"	"USD"	"2020"	"Actuals"	"-1468157"	"-1469241"	"-1405114"	"-1822159"	"-1017235"	"-1738189"	"-1064356"	"-1323706"	"-1303816"	"-1536288"	"-1447553"	"-1519478"
"Sales"	"Advertising"	"USD"	"2020"	"Actuals"	"19906222"	"18137975"	"19647355"	"25097823"	"10648319"	"21526812"	"14526502"	"16491591"	"16525042"	"13592153"	"14695586"	"13019298"
"Cost of Goods Sold"	"Advertising"	"USD"	"2020"	"Actuals"	"-9592107"	"-9049303"	"-9807183"	"-11464436"	"-4745875"	"-10693878"	"-6229151"	"-7884523"	"-8201633"	"-5539328"	"-6939494"	"-6033112"
"Commissions Expense"	"Advertising"	"USD"	"2020"	"Actuals"	"-804051"	"-766774"	"-921681"	"-1085414"	"-463729"	"-1036334"	"-711009"	"-706193"	"-784668"	"-633819"	"-678505"	"-631242"
"Payroll Expense"	"Advertising"	"USD"	"2020"	"Actuals"	"-2107365"	"-2071573"	"-2428629"	"-2973881"	"-1174690"	"-2393657"	"-1495456"	"-2058910"	"-1881183"	"-1641870"	"-1587200"	"-1436411"
"Travel & Entertainment Expense"	"Advertising"	"USD"	"2020"	"Actuals"	"-211617"	"-211295"	"-229589"	"-270401"	"-122946"	"-258829"	"-176747"	"-187172"	"-194172"	"-161178"	"-149018"	"-141587"
"R&D Expense"	"Advertising"	"USD"	"2020"	"Actuals"	"-882849"	"-828192"	"-913737"	"-1198314"	"-519107"	"-889744"	"-625608"	"-818157"	"-764727"	"-613550"	"-625269"	"-540653"
"Consulting Expense"	"Advertising"	"USD"	"2020"	"Actuals"	"-1206445"	"-976986"	"-990981"	"-1537362"	"-578191"	"-1230978"	"-824107"	"-991865"	"-928975"	"-794276"	"-738682"	"-726502"
"Software/Hardware Expense"	"Advertising"	"USD"	"2020"	"Actuals"	"-1691907"	"-1377291"	"-1682587"	"-2080797"	"-912271"	"-1790551"	"-1201477"	"-1331378"	"-1375724"	"-1029583"	"-1099874"	"-971165"
"Marketing Expense"	"Advertising"	"USD"	"2020"	"Actuals"	"-405268"	"-427770"	"-436628"	"-571749"	"-215818"	"-475706"	"-313756"	"-370356"	"-361297"	"-302763"	"-310799"	"-262708"
"Sales"	"Hardware"	"USD"	"2020"	"Actuals"	"23460904"	"23718891"	"24389820"	"26771012"	"19268388"	"25238331"	"19195734"	"20614489"	"21083674"	"24465875"	"19398173"	"23434737"
"Cost of Goods Sold"	"Hardware"	"USD"	"2020"	"Actuals"	"-11301138"	"-11040566"	"-11385210"	"-12065519"	"-8004994"	"-11169399"	"-8198056"	"-9583888"	"-8854962"	"-10326236"	"-8135464"	"-9435110"
"Commissions Expense"	"Hardware"	"USD"	"2020"	"Actuals"	"-1040217"	"-1037564"	"-1012661"	"-1187032"	"-888831"	"-1025650"	"-897572"	"-943461"	"-945482"	"-1126584"	"-946140"	"-985301"
"Payroll Expense"	"Hardware"	"USD"	"2020"	"Actuals"	"-2686116"	"-2811436"	"-2564638"	"-3193324"	"-2094388"	"-2712239"	"-2266614"	"-2314678"	"-2597975"	"-3028352"	"-2170564"	"-2619732"
"Travel & Entertainment Expense"	"Hardware"	"USD"	"2020"	"Actuals"	"-261109"	"-251233"	"-284032"	"-274954"	"-222389"	"-302896"	"-215682"	"-212824"	"-237617"	"-281077"	"-230799"	"-255866"
"R&D Expense"	"Hardware"	"USD"	"2020"	"Actuals"	"-1079788"	"-967463"	"-1074051"	"-1258729"	"-829188"	"-1219308"	"-868457"	"-1002976"	"-929444"	"-984727"	"-895091"	"-998052"
"Consulting Expense"	"Hardware"	"USD"	"2020"	"Actuals"	"-1259836"	"-1466091"	"-1329954"	"-1342208"	"-968525"	"-1551135"	"-1060193"	"-1219376"	"-1176567"	"-1460487"	"-1009016"	"-1300408"
"Software/Hardware Expense"	"Hardware"	"USD"	"2020"	"Actuals"	"-1761633"	"-2015134"	"-1826370"	"-1914691"	"-1446972"	"-1896300"	"-1597721"	"-1538757"	"-1704116"	"-1897036"	"-1495845"	"-1910300"
"Marketing Expense"	"Hardware"	"USD"	"2020"	"Actuals"	"-565050"	"-523149"	"-596925"	"-643179"	"-442670"	"-528793"	"-428292"	"-448126"	"-442125"	"-526927"	"-439699"	"-491968"
